Month,tsa_avg_20,tsa_avg_19,tsa_change_n,tsa_change_percent,occ_rate_20,occ_rate_19,occ_change_n,occ_change_percent
Jan,null,null,,,55,55,0.3,0.5
Feb,null,null,,,62,62,0.0,0
Mar,"1,133,532","2,344,518","-1,210,986",-51.7,39,68,-29.0,-42.4
Apr,"109,567","2,337,486","-2,227,919",-95.3,25,68,-43.5,-64
May,"231,156","2,403,202","-2,172,046",-90.4,33,69,-35.6,-51.8
Jun,"482,727","2,553,997","-2,071,270",-81.1,42,74,-31.3,-42.6
Jul,"669,057","2,564,902","-1,895,845",-73.9,47,74,-26.8,-36.3
Aug,"700,260","2,412,129","-1,711,869",-71,49,71,-22.8,-31.9
Sep,"716,275","2,217,709","-1,501,433",-67.7,null,null,,
Oct,"808,139","2,375,796","-1,567,657",-66,null,null,,
